feature,mean,variance
age,56.071675897054035,65.41688518410885
townsend,-1.3437753525387441,9.37836868406137
sbp,137.7860594778238,345.9893944364493
dbp,82.4088218457672,101.6323619060374
height,168.34462465676918,85.81984935485907
weight,77.52628610322519,246.84157815721977
waist_cir,89.69715642016105,175.7745729300168
waist_hip_ratio,0.8675484948507666,0.007857512880724364
bmi,27.28096224614884,22.360682173458386
baso,0.03393854889002654,0.002525470398843691
eos,0.1730003723181458,0.017816591808862175
hct,41.0549376320566,12.058183634058764
hb,14.16272839856657,1.485251348013272
lc,1.9626338902592266,1.2063627630176907
mc,0.47061660073532824,0.07322611428857065
nc,4.191464113184717,1.8863300934833938
plt,253.86277595755578,3402.783241174778
wbc,6.838083092102201,4.163006581339756
